movie_clip,valence,arousal,true_val,val_bin_pred,aro_bin_pred,audio_val,val_actual,aro_actual,video_val,,Music Probability,,Correct measure,Match true_val,Correct measure corresponding output,voice_ratio,voice_ratio_updated (>20%),audio_val_actual,
Gifted_022,0.25,0.75,low,0.52,0.46,high,0.8,0.88,high,,0.214,,video_val,discarded,high,0.443468978,0.443468978,low,
Gifted_023,0.38,0.25,low,0.38,0.31,low,0.8,0.88,high,,0.692,,audio_val,stays,low,0,0,low,
Gifted_024,0.41,0.31,low,0.58,0.62,high,0.8,0.78,high,,0.063,,video_val,discarded,high,0.020700124,0,low,
Gifted_025,0.84,0.19,high,0.42,0.35,low,0.7,0.72,high,,0.619,,audio_val,stays,low,0,0,low,
Gifted_026,0.75,0.19,high,0.34,0.35,low,0.7,0.72,high,,0.828,,audio_val,stays,low,0,0,low,
Gifted_027,0.09,0.94,low,0.51,0.68,high,0.67,0.78,high,,0.324,,video_val,discarded,high,0.461417378,0.461417378,low,
Gifted_028,0.06,0.94,low,0.27,0.87,low,0.8,0.88,high,,0.85,,audio_val,stays,low,0,0,low,
Gifted_029,0.31,0.38,low,0.15,0.21,low,0.67,0.78,high,,0.626,,audio_val,stays,low,0,0,low,
Gifted_030,0.41,0.25,low,0.17,0.18,low,0.67,0.78,high,,0,,video_val,stays,high,0.175024498,0,low,
Gifted_031,0.66,0.25,high,0.46,0.43,low,0.8,0.78,high,,0.136,,video_val,stays,high,0.246869767,0.246869767,high,
Gifted_032,0.44,0.38,low,0.5,0.36,low,0.8,0.88,high,,0.385,,video_val,stays,high,0.298776362,0.298776362,high,
Gifted_033,0.53,0.38,high,0.66,0.66,high,0.63,0.85,high,,0.456,,video_val,stays,high,0.348687005,0.348687005,high,
Gifted_034,0.53,0.31,high,0.54,0.44,high,0.67,0.78,high,,0.031,,video_val,stays,high,0.542182072,0.542182072,high,
Gifted_035,0.62,0.44,high,0.5,0.26,low,0.67,0.78,high,,0.112,,video_val,stays,high,0.612890672,0.612890672,high,
Gifted_036,0.66,0.5,high,0.39,0.2,low,0.8,0.88,high,,0.262,,video_val,stays,high,0.388697592,0.388697592,high,
Gifted_037,0.69,0.31,high,0.53,0.24,high,0.8,0.88,high,,0.134,,video_val,stays,high,0.467994462,0.467994462,high,
Gifted_038,0.38,0.75,low,0.4,0.5,low,0.8,0.88,high,,0.29,,video_val,stays,high,0.684499147,0.684499147,high,
Gifted_039,0.5,0.44,low,0.42,0.35,low,0.67,0.78,high,,0.023,,video_val,stays,high,0.527222109,0.527222109,high,
Gifted_040,0.84,0.5,high,0.39,0.85,low,0.8,0.78,high,,0,,video_val,stays,high,0.011594895,0,low,
Gifted_041,0.69,0.31,high,0.45,0.44,low,0.7,0.74,high,,0,,video_val,stays,high,0.128456146,0,low,
Gifted_042,0.5,0.5,low,0.46,0.42,low,0.62,0.69,high,,0.525,,audio_val,stays,low,0,0,low,
Gifted_043,0.56,0.31,high,0.58,0.37,high,0.62,0.69,high,,0,,video_val,stays,high,0.283434018,0.283434018,high,
Gifted_044,0.75,0.25,high,0.13,0.29,low,0.7,0.72,high,,0,,video_val,stays,high,0.080385355,0,low,
Gifted_045,0.47,0.31,low,0.37,0.23,low,0.8,0.78,high,,0.069,,video_val,stays,high,0.206835145,0.206835145,high,
Gifted_046,0.75,0.31,high,0.46,0.42,low,0.67,0.78,high,,0.303,,video_val,stays,high,0.590714389,0.590714389,high,
Gifted_047,0.47,0.25,low,0.16,0.12,low,0.62,0.69,high,,0.071,,video_val,stays,high,0.196485559,0,low,
Gifted_048,0.28,0.44,low,0.35,0.34,low,0.67,0.78,high,,0.351,,video_val,stays,high,0.411021235,0.411021235,high,
Gifted_049,0.91,0.44,high,0.4,0.17,low,0.67,0.78,high,,0.606,,audio_val,stays,low,0,0,low,
Gifted_050,0.91,0.5,high,0.34,0.17,low,0.8,0.78,high,,0.577,,audio_val,stays,low,0,0,low,
Gifted_051,0.91,0.44,high,0.77,0.74,high,0.8,0.88,high,,0.8,,audio_val,stays,high,0,0,low,
Gifted_052,0.16,0.25,low,0.35,0.26,low,0.67,0.78,high,,0.763,,audio_val,stays,low,0,0,low,
Gifted_053,0,0.81,low,0.51,0.6,high,0.67,0.78,high,,0.783,,audio_val,discarded,high,0,0,low,
Gifted_054,0.03,0.94,low,0.34,0.85,low,0.67,0.78,high,,0.371,,video_val,stays,high,0.20987193,0.20987193,high,
Gifted_055,0.06,0.5,low,0.31,0.39,low,0.67,0.78,high,,0.357,,video_val,stays,high,0.195699154,0,low,
Gifted_056,0.34,0.44,low,0.66,0.34,high,0.8,0.88,high,,0.067,,video_val,discarded,high,0.217867349,0.217867349,low,
Gifted_057,0.56,0.44,high,0.61,0.37,high,0.7,0.74,high,,0.369,,video_val,stays,high,0.195453832,0,low,
Gifted_058,0.16,0.94,low,0.3,0.77,low,0.8,0.88,high,,0.207,,video_val,stays,high,0.74717648,0.74717648,high,
Gifted_059,0.09,0.94,low,0.48,0.7,low,0.67,0.78,high,,0.363,,video_val,stays,high,0.847041295,0.847041295,high,
Gifted_060,0.12,0.5,low,0.28,0.38,low,0.67,0.78,high,,0.267,,video_val,stays,high,0.211670854,0.211670854,high,
Gifted_061,0.31,0.19,low,0.38,0.22,low,0.67,0.78,high,,0.056,,video_val,stays,high,0.168406089,0,low,
Gifted_062,0.34,0.38,low,0.19,0.31,low,0.7,0.74,high,,0,,video_val,stays,high,0.076969397,0,low,
Gifted_063,0.41,0.19,low,0.19,0.2,low,0.8,0.88,high,,0.495,,video_val,stays,high,0.112165456,0,low,
Gifted_064,0.72,0.44,high,0.44,0.31,low,0.8,0.88,high,,0.385,,video_val,stays,high,0.375601376,0.375601376,high,
Gifted_065,0.78,0.5,high,0.44,0.32,low,0.67,0.78,high,,0.712,,audio_val,stays,low,0,0,low,
Gifted_066,0.91,0.75,high,0.46,0.53,low,0.57,0.79,high,,0.856,,audio_val,stays,low,0,0,low,
LadyBird_000,0.56,0.25,high,0.69,0.6,high,0.68,0.79,high,,0.432,,video_val,stays,high,0.508569183,0.508569183,high,
LadyBird_001,0.41,0.19,low,0.49,0.36,high,0.8,0.88,high,,0.103,,video_val,discarded,high,0.376092352,0.376092352,low,
LadyBird_002,0.5,0.38,high,0.3,0.63,low,0.8,0.88,high,,0.334,,video_val,stays,high,0.920319478,0.920319478,high,
LadyBird_003,0.22,0.88,low,0.25,0.66,low,0.67,0.78,high,,0.074,,video_val,stays,high,0.746973762,0.746973762,high,
LadyBird_004,0.12,0.88,low,0.3,0.84,low,0.8,0.88,high,,0.22,,video_val,stays,high,0.892997357,0.892997357,high,
LadyBird_005,0.12,0.94,low,0.36,0.75,low,0.63,0.85,high,,0.773,,audio_val,stays,low,0,0,low,
LadyBird_006,0.03,1,low,0.47,0.49,low,0.67,0.78,high,,0.888,,audio_val,stays,low,0,0,low,
LadyBird_007,0.47,0.38,low,0.41,0.74,low,0.67,0.78,high,,0.638,,audio_val,stays,low,0,0,low,
LadyBird_008,0.69,0.19,high,0.5,0.39,high,0.8,0.88,high,,0.474,,video_val,stays,high,0.790903271,0.790903271,high,
LadyBird_009,0.31,0.75,low,0.59,0.76,high,0.8,0.78,high,,0.186,,video_val,discarded,high,0.583310934,0.583310934,low,
LadyBird_010,0.47,0.5,low,0.58,0.57,high,0.7,0.74,high,,0.635,,audio_val,discarded,high,0,0,low,
LadyBird_011,0.44,0.81,low,0.69,0.68,high,0.8,0.78,high,,0.862,,audio_val,discarded,high,0,0,low,
LadyBird_012,0.56,0.44,high,0.48,0.71,high,0.67,0.78,high,,0.692,,audio_val,stays,high,0,0,low,
LadyBird_013,0.31,0.75,low,0.6,0.46,high,0.62,0.69,high,,0.843,,audio_val,discarded,high,0,0,low,
LadyBird_014,0.59,0.38,high,0.79,0.7,high,0.7,0.72,high,,0.814,,audio_val,stays,high,0,0,low,
LadyBird_015,0.81,0.44,high,0.81,0.56,high,0.7,0.74,high,,0.134,,video_val,stays,high,0.64690523,0.64690523,high,
LadyBird_016,0.62,0.44,high,0.82,0.71,high,0.8,0.88,high,,0.164,,video_val,stays,high,0.515047845,0.515047845,high,
LadyBird_017,0.59,0.31,high,0.78,0.65,high,0.8,0.88,high,,0.268,,video_val,stays,high,0.626583948,0.626583948,high,
LadyBird_018,0.81,0.56,high,0.7,0.76,high,0.67,0.78,high,,0.801,,audio_val,stays,high,0,0,low,
LadyBird_019,0.84,0.88,high,0.73,0.74,high,0.8,0.88,high,,0.762,,audio_val,stays,high,0,0,low,
LadyBird_020,0.44,0.38,low,0.61,0.57,high,0.63,0.85,high,,0.479,,video_val,discarded,high,0.612940825,0.612940825,low,
LadyBird_021,0.22,0.44,low,0.43,0.42,low,0.8,0.78,high,,0.274,,video_val,stays,high,0.619294527,0.619294527,high,
LadyBird_022,0.75,0.69,high,0.67,0.74,high,0.8,0.88,high,,0.638,,audio_val,stays,high,0,0,low,
LadyBird_023,0.44,0.5,low,0.74,0.49,high,0.7,0.74,high,,0.095,,video_val,discarded,high,0.622030615,0.622030615,low,
LadyBird_024,0.34,0.38,low,0.81,0.47,high,0.7,0.74,high,,0.63,,audio_val,discarded,high,0,0,low,
LadyBird_025,0.75,0.5,high,0.78,0.54,high,0.8,0.88,high,,0.486,,video_val,stays,high,0.730940945,0.730940945,high,
LadyBird_026,0.88,0.56,high,0.43,0.36,low,0.7,0.72,high,,0.202,,video_val,stays,high,0.240275737,0.240275737,high,
LadyBird_027,0.5,0.31,high,0.52,0.57,high,0.8,0.88,high,,0.91,,audio_val,stays,high,0,0,low,
LadyBird_028,0.69,0.81,high,0.45,0.46,low,0.8,0.78,high,,0.856,,audio_val,stays,low,0,0,low,
LadyBird_029,0.88,0.44,high,0.51,0.27,high,0.63,0.85,high,,0.792,,audio_val,stays,high,0,0,low,
LadyBird_030,0.81,0.38,high,0.49,0.38,high,0.67,0.78,high,,0.687,,audio_val,stays,high,0,0,low,
LadyBird_031,0.84,0.81,high,0.3,0.56,low,0.63,0.85,high,,0.258,,video_val,stays,high,0.409374992,0.409374992,high,
LadyBird_032,0.09,0.69,low,0.33,0.45,low,0.55,0.72,high,,0.433,,video_val,stays,high,0.554493694,0.554493694,high,
LadyBird_033,0.12,0.44,low,0.67,0.48,high,0.62,0.69,high,,0.097,,video_val,discarded,high,0.686480156,0.686480156,low,
LadyBird_034,0.72,0.25,high,0.33,0.13,low,0.8,0.88,high,,0.768,,audio_val,stays,low,0,0,low,
LadyBird_035,0.75,0.12,high,0.49,0.19,high,0.8,0.88,high,,0.761,,audio_val,stays,high,0,0,low,
LadyBird_036,0.84,0.25,high,0.5,0.49,high,0.67,0.78,high,,0.627,,audio_val,stays,high,0,0,low,
LadyBird_037,0.84,0.56,high,0.42,0.4,low,0.67,0.78,high,,0.538,,audio_val,stays,low,0,0,low,
LadyBird_038,0.5,0.44,high,0.48,0.5,high,0.8,0.88,high,,0.826,,audio_val,stays,high,0,0,low,
LadyBird_039,0.25,0.56,low,0.36,0.7,low,0.8,0.88,high,,0.114,,video_val,stays,high,0.451885421,0.451885421,high,
LadyBird_040,0.25,0.81,low,0.53,0.48,high,0.62,0.69,high,,0.202,,video_val,discarded,high,0.595022386,0.595022386,low,
LadyBird_041,0.78,0.62,high,0.78,0.58,high,0.67,0.78,high,,0.153,,video_val,stays,high,0.631170117,0.631170117,high,
LadyBird_042,0.59,0.56,high,0.75,0.56,high,0.67,0.78,high,,0.813,,audio_val,stays,high,0,0,low,
LadyBird_043,0.78,0.5,high,0.33,0.42,low,0.8,0.88,high,,0.791,,audio_val,stays,low,0,0,low,
LadyBird_044,0.78,0.5,high,0.67,0.81,high,0.8,0.78,high,,0.402,,video_val,stays,high,0.639343236,0.639343236,high,
LadyBird_045,0.84,0.44,high,0.67,0.73,high,0.67,0.78,high,,0.881,,audio_val,stays,high,0,0,low,
LadyBird_046,0.81,0.62,high,0.54,0.44,high,0.57,0.79,high,,0.915,,audio_val,stays,high,0,0,low,
LadyBird_047,0.56,0.5,high,0.39,0.87,low,0.62,0.69,high,,0.919,,audio_val,stays,low,0,0,low,
LadyBird_048,0.84,0.94,high,0.3,0.34,low,0.67,0.78,high,,0.027,,video_val,stays,high,0.272352434,0.272352434,high,
LadyBird_049,0.44,0.31,low,0.56,0.64,high,0.7,0.74,high,,0.818,,audio_val,discarded,high,0,0,low,
LadyBird_050,0.53,0.25,high,0.49,0.74,high,0.8,0.88,high,,0.83,,audio_val,stays,high,0,0,low,
LadyBird_051,0.81,0.94,high,0.46,0.42,low,0.8,0.88,high,,0.832,,audio_val,stays,low,0,0,low,
LadyBird_052,0.41,0.69,low,0.49,0.56,high,0.67,0.78,high,,0.697,,audio_val,discarded,high,0,0,low,
LadyBird_053,0.94,0.62,high,0.51,0.54,high,0.67,0.78,high,,0.215,,video_val,stays,high,0.530606538,0.530606538,high,
LadyBird_054,0.97,0.62,high,0.62,0.67,high,0.8,0.88,high,,0.723,,audio_val,stays,high,0,0,low,
LadyBird_055,0.94,0.56,high,0.48,0.49,high,0.68,0.79,high,,0.053,,video_val,stays,high,0.515777057,0.515777057,high,
LadyBird_056,0.62,0.56,high,0.5,0.29,high,0.67,0.78,high,,0.751,,audio_val,stays,high,0,0,low,
LadyBird_057,0.72,0.44,high,0.68,0.41,high,0.7,0.74,high,,0.673,,audio_val,stays,high,0,0,low,
LadyBird_058,0.53,0.38,high,0.61,0.5,high,0.8,0.88,high,,0.029,,video_val,stays,high,0.330839353,0.330839353,high,
LadyBird_059,0.31,0.56,low,0.44,0.28,low,0.67,0.78,high,,0.151,,video_val,stays,high,0.540466271,0.540466271,high,
LadyBird_060,0.28,0.5,low,0.75,0.66,high,0.62,0.69,high,,0.241,,video_val,discarded,high,0.683446916,0.683446916,low,
LadyBird_061,0.47,0.5,low,0.61,0.82,high,0.8,0.88,high,,0.086,,video_val,discarded,high,0.59884393,0.59884393,low,
LadyBird_062,0.5,0.5,high,0.14,0.35,low,0.8,0.78,high,,0.045,,video_val,stays,high,0.467561298,0.467561298,high,
LadyBird_063,0.19,0.38,low,0.43,0.34,low,0.67,0.78,high,,0.064,,video_val,stays,high,0.601665713,0.601665713,high,
LadyBird_064,0.53,0.31,high,0.54,0.52,high,0.62,0.69,high,,0.641,,audio_val,stays,high,0,0,low,
LadyBird_065,0.25,0.5,low,0.35,0.57,low,0.67,0.78,high,,0.056,,video_val,stays,high,0.753153543,0.753153543,high,
LadyBird_066,0.19,0.88,low,0.61,0.68,high,0.8,0.88,high,,0.577,,audio_val,discarded,high,0,0,low,
LadyBird_067,0.16,0.81,low,0.43,0.28,low,0.67,0.78,high,,0.682,,audio_val,stays,low,0,0,low,
LadyBird_068,0.22,0.56,low,0.11,0.16,low,0.67,0.78,high,,0.769,,audio_val,stays,low,0,0,low,
LadyBird_069,0.22,0.69,low,0.14,1.01,low,0.7,0.72,high,,0.189,,video_val,stays,high,0.480572577,0.480572577,high,
LadyBird_070,0.06,0.94,low,0.71,0.66,high,0.67,0.78,high,,0.92,,audio_val,discarded,high,0,0,low,
LadyBird_071,0.06,1,low,0.56,0.55,high,0.8,0.88,high,,0.873,,audio_val,discarded,high,0,0,low,
LadyBird_072,0.44,0.25,low,0.54,0.58,high,0.62,0.69,high,,0.809,,audio_val,discarded,high,0,0,low,
LadyBird_073,0.66,0.62,high,0.38,0.68,low,0.8,0.78,high,,0.041,,video_val,stays,high,0.011391355,0,low,
LadyBird_074,0.84,1,high,0.4,0.62,low,0.8,0.88,high,,0.088,,video_val,stays,high,0.666164923,0.666164923,high,
LadyBird_075,0.38,0.56,low,0.1,0.19,low,0.63,0.85,high,,0.092,,video_val,stays,high,0.354906397,0.354906397,high,
LadyBird_076,0.5,0.44,high,0.27,0.41,low,0.6,0.74,high,,0.062,,video_val,stays,high,0.578147013,0.578147013,high,
LadyBird_077,0.22,0.38,low,0.6,0.49,high,0.67,0.78,high,,0.022,,video_val,discarded,high,0.368068268,0.368068268,low,
LadyBird_078,0.44,0.5,low,0.47,0.73,low,0.67,0.78,high,,0.151,,video_val,stays,high,0.636299923,0.636299923,high,
LadyBird_079,0,1,low,0.43,0.75,low,0.67,0.78,high,,0.305,,video_val,stays,high,0.675007174,0.675007174,high,
LadyBird_080,0,1,low,0.36,0.77,low,0.7,0.64,high,,0.353,,video_val,stays,high,0.607259699,0.607259699,high,
LadyBird_081,0,0.75,low,0.49,0.64,high,0.8,0.88,high,,0.823,,audio_val,discarded,high,0,0,low,
LadyBird_082,0.19,0.88,low,0.15,0.36,low,0.62,0.69,high,,0.051,,video_val,stays,high,0.40327263,0.40327263,high,
LadyBird_083,0.12,0.38,low,0.35,0.37,low,0.67,0.78,high,,0,,video_val,stays,high,0.215456586,0.215456586,high,
LadyBird_084,0.31,0.44,low,0.54,0.41,high,0.67,0.78,high,,0.064,,video_val,discarded,high,0.125470257,0,low,
LadyBird_085,0.5,0.38,high,0.35,0.43,low,0.7,0.74,high,,0.032,,video_val,stays,high,0.054301839,0,low,
LadyBird_086,0.59,0.81,high,0.32,0.31,low,0.67,0.78,high,,0.027,,video_val,stays,high,0.013596501,0,low,
LadyBird_087,0.53,0.62,high,0.2,0.28,low,0.8,0.78,high,,0.081,,video_val,stays,high,0.184974633,0,low,
LadyBird_088,0.53,0.69,high,0.33,0.37,low,0.7,0.74,high,,0.357,,video_val,stays,high,0.569719107,0.569719107,high,
LadyBird_089,0.34,0.56,low,0.48,0.34,high,0.67,0.78,high,,0.286,,video_val,discarded,high,0.504728962,0.504728962,low,
LadyBird_090,0.62,0.44,high,0.21,0.42,low,0.67,0.78,high,,0.138,,video_val,stays,high,0.334784353,0.334784353,high,
LadyBird_091,0.12,0.75,low,0.2,0.68,low,0.67,0.78,high,,0.381,,video_val,stays,high,0.59351592,0.59351592,high,
LadyBird_092,0.09,0.88,low,0.4,0.41,low,0.7,0.72,high,,0.031,,video_val,stays,high,0.125811386,0,low,
LadyBird_093,0.25,0.44,low,0.53,0.43,high,0.62,0.69,high,,0.769,,audio_val,discarded,high,0,0,low,
LadyBird_094,0.44,0.75,low,0.51,0.61,high,0.7,0.74,high,,0.77,,audio_val,discarded,high,0,0,low,
LadyBird_095,0.53,0.5,high,0.31,0.4,low,0.7,0.72,high,,0,,video_val,stays,high,0.395529595,0.395529595,high,
LadyBird_096,0.59,0.44,high,0.74,0.6,high,0.7,0.72,high,,0.058,,video_val,stays,high,0.650624132,0.650624132,high,
LadyBird_097,0.31,0.56,low,0.4,0.48,low,0.67,0.78,high,,0.102,,video_val,stays,high,0.328223131,0.328223131,high,
LadyBird_098,0.25,0.25,low,0.44,0.29,low,0.67,0.78,high,,0.276,,video_val,stays,high,0.36009017,0.36009017,high,
LadyBird_099,0.81,0.5,high,0.63,0.42,high,0.8,0.88,high,,0.698,,audio_val,stays,high,0,0,low,
LadyBird_100,0.28,0.44,low,0.7,0.7,high,0.8,0.88,high,,0.833,,audio_val,discarded,high,0,0,low,
LadyBird_101,0.91,0.81,high,0.53,0.27,high,0.8,0.88,high,,0.905,,audio_val,stays,high,0,0,low,
LadyBird_102,0.78,0.25,high,0.46,0.29,low,0.67,0.78,high,,0.746,,audio_val,stays,low,0,0,low,
LadyBird_103,0.72,0.25,high,0.68,0.69,high,0.67,0.78,high,,0.531,,audio_val,stays,high,0,0,low,
LadyBird_104,0.97,0.56,high,0.23,0.62,low,0.8,0.88,high,,0.416,,video_val,stays,high,0.580543238,0.580543238,high,
LadyBird_105,0.16,0.69,low,0.35,0.68,low,0.67,0.78,high,,0.86,,audio_val,stays,low,0,0,low,
LadyBird_106,0.72,0.31,high,0.33,0.39,low,0.8,0.88,high,,0.256,,video_val,stays,high,0.29399588,0.29399588,high,
LadyBird_107,0.56,0.12,high,0.35,0.41,low,0.7,0.64,high,,0.03,,video_val,stays,high,0.013557977,0,low,
LadyBird_108,0.25,0.25,low,0.27,0.35,low,0.62,0.69,high,,0.661,,audio_val,stays,low,0,0,low,
LadyBird_109,0.34,0.5,low,0.61,0.69,high,0.8,0.88,high,,0.786,,audio_val,discarded,high,0,0,low,
LadyBird_110,0.69,0.19,high,0.25,0.49,low,0.67,0.78,high,,0.827,,audio_val,stays,low,0,0,low,
LadyBird_111,0.59,0.5,high,0.78,0.65,high,0.8,0.88,high,,0.848,,audio_val,stays,high,0,0,low,
LadyBird_112,0.5,0.62,high,0.42,0.64,low,0.63,0.85,high,,0.07,,video_val,stays,high,0.009723303,0,low,
LadyBird_113,1,0.19,high,0.45,0.43,low,0.62,0.69,high,,0.719,,audio_val,stays,low,0,0,low,
TheFaultInOurStars_000,0.69,0.44,high,0.27,0.28,low,0.67,0.78,high,,0.699,,audio_val,stays,low,0,0,low,
TheFaultInOurStars_001,0.84,0.44,high,0.51,0.46,high,0.67,0.78,high,,0.767,,audio_val,stays,high,0,0,low,
TheFaultInOurStars_002,0.84,0.38,high,0.51,0.35,high,0.67,0.78,high,,0.671,,audio_val,stays,high,0,0,low,
TheFaultInOurStars_003,0.75,0.56,high,0.57,0.43,high,0.67,0.78,high,,0.262,,video_val,stays,high,0.627713325,0.627713325,high,
TheFaultInOurStars_004,0.59,0.25,high,0.48,0.35,low,0.8,0.88,high,,0.049,,video_val,stays,high,0.769500524,0.769500524,high,
TheFaultInOurStars_005,0.72,0.69,high,0.53,0.51,high,0.67,0.78,high,,0.065,,video_val,stays,high,0.444582972,0.444582972,high,
TheFaultInOurStars_006,0.19,0.88,low,0.21,0.71,low,0.62,0.69,high,,0.02,,video_val,stays,high,0.594888847,0.594888847,high,
TheFaultInOurStars_007,0.69,0.5,high,0.27,0.38,low,0.66,0.67,high,,0.082,,video_val,stays,high,0.307814908,0.307814908,high,
TheFaultInOurStars_008,0.69,0.56,high,0.64,0.44,high,0.8,0.88,high,,0.742,,audio_val,stays,high,0,0,low,
TheFaultInOurStars_009,0.75,0.44,high,0.71,0.62,high,0.7,0.72,high,,0.566,,audio_val,stays,high,0,0,low,
TheFaultInOurStars_010,0.66,0.38,high,0.53,0.4,high,0.67,0.78,high,,0.214,,video_val,stays,high,0.593283451,0.593283451,high,
TheFaultInOurStars_011,0.72,0.5,high,0.54,0.43,high,0.67,0.78,high,,0.026,,video_val,stays,high,0.577298439,0.577298439,high,
TheFaultInOurStars_012,0.84,0.5,high,0.53,0.53,high,0.8,0.88,high,,0.265,,video_val,stays,high,0.564851509,0.564851509,high,
TheFaultInOurStars_013,0.88,0.5,high,0.59,0.37,high,0.67,0.78,high,,0.768,,audio_val,stays,high,0,0,low,
TheFaultInOurStars_014,0.56,0.31,high,0.56,0.33,high,0.8,0.88,high,,0.38,,video_val,stays,high,0.546731725,0.546731725,high,
TheFaultInOurStars_015,0.66,0.69,high,0.55,0.71,high,0.8,0.88,high,,0.19,,video_val,stays,high,0.728972322,0.728972322,high,
TheFaultInOurStars_016,0.56,0.75,high,0.58,0.66,high,0.8,0.88,high,,0.208,,video_val,stays,high,0.748578618,0.748578618,high,
TheFaultInOurStars_017,0.72,0.44,high,0.37,0.43,low,0.8,0.88,high,,0.69,,audio_val,stays,low,0,0,low,
TheFaultInOurStars_018,0.88,0.94,high,0.74,0.65,high,0.68,0.76,high,,0.401,,video_val,stays,high,0.590624893,0.590624893,high,
TheFaultInOurStars_019,0.81,1,high,0.75,0.61,high,0.67,0.78,high,,0.61,,audio_val,stays,high,0,0,low,
TheFaultInOurStars_020,0.84,0.44,high,0.49,0.45,low,0.67,0.78,high,,0.86,,audio_val,stays,low,0,0,low,
TheFaultInOurStars_021,0.81,0.31,high,0.66,0.5,high,0.7,0.74,high,,0.788,,audio_val,stays,high,0,0,low,
TheFaultInOurStars_022,0.84,0.12,high,0.38,0.23,low,0.8,0.88,high,,0.681,,audio_val,stays,low,0,0,low,
TheFaultInOurStars_023,0.91,0.19,high,0.26,0.24,low,0.8,0.88,high,,0.597,,audio_val,stays,low,0,0,low,
TheFaultInOurStars_024,0.81,0.56,high,0.38,0.56,low,0.67,0.78,high,,0.12,,video_val,stays,high,0.478699447,0.478699447,high,
TheFaultInOurStars_025,0.75,0.5,high,0.7,0.54,high,0.67,0.78,high,,0.022,,video_val,stays,high,0.461551342,0.461551342,high,
TheFaultInOurStars_026,0.78,0.38,high,0.71,0.59,high,0.67,0.78,high,,0.586,,audio_val,stays,high,0,0,low,
TheFaultInOurStars_027,0.75,0.31,high,0.57,0.52,high,0.67,0.78,high,,0.604,,audio_val,stays,high,0,0,low,
TheFaultInOurStars_028,0.69,0.31,high,0.65,0.54,high,0.8,0.88,high,,0.471,,video_val,stays,high,0.573941542,0.573941542,high,
TheFaultInOurStars_029,0.81,0.5,high,0.55,0.5,high,0.67,0.78,high,,0.631,,audio_val,stays,high,0,0,low,
